affiliation	freq	lat	lng
 a  Institute of Ecology , Akademijos 2,  2600 ,  Vilnius ,  Lithuania	171	54.6871555	25.2796514
 a  Institute of Geography , Moscow	187	55.7384383	37.6200313
#N#            *Steadman Philippon Research Institute, Vail, Colorado, USA	100	39.643196	-106.3816101
#N#        34, Myddelton Square, Clerkenwell	129	51.5304916	-0.1077806
#N#        71, Brecknock Road	660	40.2348107	-74.9112907
#N#        Bath	159	41.40146	-87.752562
#N#        Beaconsfield	120	51.602396	-0.6442409
#N#        Birmingham	408	33.5185892	-86.8103567
#N#        Blackheath	308	-33.635556	150.283611
#N#        Bottesford Manor, Brigg	169	53.55184999999999	-0.491887
#N#        Brighton	172	34.1858885	-118.3370769
#N#        Cambridge	422	39.1268881	-94.49909149999999
#N#        Dublin	363	53.3498053	-6.2603097
#N#        Edinburgh	118	34.0828187	-118.3637578
#N#        Fair Park, Exeter	175	50.71981719999999	-3.524233
#N#        Glasgow	156	55.864237	-4.251806
#N#        Guernsey	117	39.8408456	-75.839544
#N#        Hampstead, N.W.	118	51.5556461	-0.1761749
#N#        Helensburgh, N.B.	124	56.002318	-4.734014
#N#        Lancaster	178	40.0378755	-76.3055144
#N#        Leigh, Lancashire	100	53.496115	-2.518727
#N#        Lichfield	107	52.681602	-1.831672
#N#        Long Itchington, Warwickshire	147	52.28407	-1.394391
#N#        Manchester	194	41.0006005	-85.768597
#N#        Mayfair	117	41.971831	-87.7378659
#N#        Newbourne Rectory, Woodbridge	667	52.095481	1.312571
#N#        Newcastle-upon-Tyne	117	55	-1.7
#N#        Oxford	627	42.1167606	-71.8647577
#N#        Philadelphia	263	40.0145387	-75.1311264
#N#        Portland, Oregon	107	45.6074632	-122.7235846
#N#        Sandgate	125	36.8855338	-76.4116779
#N#        Spennymoor	309	54.69772099999999	-1.58552
#N#        St. Stephen's Rectory, C.-on-M., Manchester	107	42.997734	-71.45475569999999
#N#        Swallowfield Park, Reading	131	51.3838543	-0.9507082
#N#        Sydenham Hill	142	51.4330389	-0.06857289999999999
#N#        Torquay	112	50.4619209	-3.525315
#N#        Walthamstow	100	51.5901769	-0.0173437
#N#        West Haddon, Northamptonshire	183	52.340659	-1.077033
#N#        Westminster	126	39.932348	-105.0031457
#N#        Worksop	286	53.309302	-1.122745
#N##N#aAIST	103	50.9378101	4.0409517
#N##N#aApplied Materials	108	N/A	N/A
#N##N#aArgonne National Laboratory	554	41.7183042	-87.978572
#N##N#aArizona State University	142	33.4535385	-112.0731218
#N##N#aAuburn University	278	32.6293538	-85.46260029999999
#N##N#aBrno University of Technology	274	49.20171999999999	16.6033168
#N##N#aCalifornia Institute of Technology	131	34.1376576	-118.125269
#N##N#aCenter for Physical Sciences and Technology	234	N/A	N/A
#N##N#aChinese Academy of Sciences	176	37.7698646	-122.4660947
#N##N#aChonnam National University	157	32.8294811	-117.1272507
#N##N#aDoshisha University	103	N/A	N/A
#N##N#aDrexel University	137	N/A	N/A
#N##N#aForschungszentrum JÃ¼lich GmbH	142	N/A	N/A
#N##N#aGeorgia Institute of Technology	210	33.7756178	-84.39628499999999
#N##N#aHanbat National University	124	40.7347484	-73.9943053
#N##N#aHanyang University	347	N/A	N/A
#N##N#aHokkaido University	184	N/A	N/A
#N##N#aIHP	123	40.3365135	-76.7388714
#N##N#aIllinois Institute of Technology	123	41.8348731	-87.6270059
#N##N#aImec	128	N/A	N/A
#N##N#aImperial College London	140	51.49879970000001	-0.1748772
#N##N#aKanagawa University	147	N/A	N/A
#N##N#aKorea Institute of Energy Research	139	N/A	N/A
#N##N#aKorea Institute of Science and Technology	121	N/A	N/A
#N##N#aKorea University	119	N/A	N/A
#N##N#aKyoto University	259	N/A	N/A
#N##N#aKyushu University	386	N/A	N/A
#N##N#aLos Alamos National Laboratory	432	32.4212678	-104.2266325
#N##N#aMassachusetts Institute of Technology	309	N/A	N/A
#N##N#aMcMaster University	130	43.260879	-79.9192254
#N##N#aMichigan State University	154	N/A	N/A
#N##N#aNagoya University	108	N/A	N/A
#N##N#aNational Chiao Tung University	115	24.7883959	120.999509
#N##N#aNational Institute for Materials Science	101	N/A	N/A
#N##N#aNational Institute of Advanced Industrial Science and Technology	126	N/A	N/A
#N##N#aNational Institute of Standards and Technology	105	N/A	N/A
#N##N#aNational Renewable Energy Laboratory	220	39.7441107	-105.1513795
#N##N#aNational Tsing Hua University	173	39.9996674	116.3264439
#N##N#aNaval Research Laboratory	105	38.8807927	-77.108694
#N##N#aOak Ridge National Laboratory	246	35.931193	-84.310014
#N##N#aOsaka Prefecture University	159	34.5454666	135.5068517
#N##N#aOsaka University	211	N/A	N/A
#N##N#aPacific Northwest National Laboratory	349	N/A	N/A
#N##N#aPolitecnico di Milano	173	45.47809059999999	9.2282377
#N##N#aSandia National Laboratories	250	32.370067	-104.2319184
#N##N#aSeoul National University	290	32.8294811	-117.1272507
#N##N#aSimon Fraser University	128	49.2780937	-122.9198833
#N##N#aStanford University	167	37.4274745	-122.169719
#N##N#aStony Brook University	154	40.9123761	-73.1233889
#N##N#aTianjin University of Technology	118	N/A	N/A
#N##N#aTohoku University	489	N/A	N/A
#N##N#aTokyo Institute of Technology	421	35.6051229	139.6835302
#N##N#aTokyo University of Science	290	35.6997801	139.7414708
#N##N#aUniversity College London	101	51.52455920000001	-0.1340401
#N##N#aUniversity of Alberta	122	53.5678083	-113.5058579
#N##N#aUniversity of Connecticut	180	41.4191748	-72.8926883
#N##N#aUniversity of Florida	256	28.169954	-80.6708733
#N##N#aUniversity of Maryland	127	39.3524107	-76.6211024
#N##N#aUniversity of Michigan	140	42.2787462	-83.73632409999999
#N##N#aUniversity of New Mexico	115	36.004057	-106.08444
#N##N#aUniversity of South Carolina	204	35.0658084	-82.37324219999999
#N##N#aUniversity of Tartu	127	58.37798299999999	26.7290383
#N##N#aUniversity of Toronto	223	43.7734535	-79.50186839999999
#N##N#aUniversity of Utah	104	40.77038	-111.835748
#N##N#aUniversity of Virginia	116	38.9055726	-77.1279261
#N##N#aUniversity of Warsaw	146	52.2296756	21.0122287
#N##N#aUniversity of Waterloo	114	42.492786	-92.34257749999999
#N##N#aUral Federal University	146	N/A	N/A
#N##N#aVanderbilt University	112	36.1447034	-86.8026551
#N##N#aXiamen University	100	N/A	N/A
#N##N#aYokohama National University	160	35.4723189	139.5917861
#N##N#aYonsei University	103	N/A	N/A
#N##N#aimec	343	N/A	N/A
#N##N#bArgonne National Laboratory	111	41.7183042	-87.978572
