affiliation	freq	formatted_address	locality	country	lat	lng
Institute of Chemical Physics, Academy of Sciences of the USSR, Chernogolovka, 	111	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Physics, Academy of Sciences of the USSR, Moscow	184	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Physics, Academy of Sciences of the USSR, Moscow, 	4009	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Physics, Academy of Sciences of the USSR, Moscow, USSR	194	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Physics, Academy of Sciences of the USSR, USSR	2518	California Academy of Sciences, CA	San Francisco	United States	37.76972961425781	-122.46609497070312
Institute of Chemical Physics, Academy of Sciences, Moscow, USSR	101	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Physics, Academy of Sciences, USSR	453	California Academy of Sciences, CA	San Francisco	United States	37.76972961425781	-122.46609497070312
Institute of Chemical Physics, Moscow, USSR	142	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Physics, U.S.S.R. Academy of Sciences USSR	140	California Academy of Sciences, CA	San Francisco	United States	37.76972961425781	-122.46609497070312
Institute of Chemical Physics, U.S.S.R. Academy of Sciences, Russia	242	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Physics, U.S.S.R. Academy of Sciences, U.S.S.R.	160	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Physics, U.S.S.R. Academy of Sciences, USSR	1687	California Academy of Sciences, CA	San Francisco	United States	37.76972961425781	-122.46609497070312
Institute of Chemical Physics, USSR Academy of Sciences, Moscow, USSR	125	Russian Academy of Sciences, Russia	Moscow	Russia	55.7110481262207	37.5794792175293
Institute of Chemical Process Fundamentals, Academy of Sciences, Prague, Czech Republic	3395	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Research of Catalonia (ICIQ), Av. PaÃ¯sos Catalans 16, 43007 Tarragona (Spain)	116	43007, Catalonia, Spain	Tarragona	Spain	41.13700866699219	1.2880100011825562
Institute of Chemical Research of Catalonia (ICIQ), Av. PaÃ¯sos Catalans 16, 43007 Tarragona, Spain	104	Avinguda Pa�sos Catalans, 16, 43007 Tarragona (Tarragona), Spain	Tarragona	Spain	41.1303375	1.243342
Institute of Chemical Sciences, Academy of Sciences of the Kazakh SSR, Alma-Ata, 	182	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Technology	9338	Institute of Chemical Technology, India	Mumbai	India	19.024169921875	72.85716247558594
Institute of Chemical Technology (Czech Republic)	125	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Technology Prague	355	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Technology in Prague	4106	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Technology, Prague	260	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Technology, Prague, Czech Republic	168	N/A	N/A	N/A	N/A	N/A
Institute of Chemical Technology, TechnickÃ¡ 5, 166 28 Prague 6, Czech Republic	110	Prague 6, Czech Republic	Prague	Czech Republic	50.09415817260742	14.367480278015137
Institute of Chemical and Engineering Sciences, 1 Pesek Road, Jurong Island, Singapore 627833, Singapore	156	Pesek Rd & Jurong Island Hwy, Singapore, Singapore	Singapore	Singapore	1.28047	103.67859
Institute of Chemistry	471	N/A	N/A	N/A	N/A	N/A
Institute of Chemistry (China)	143	N/A	N/A	N/A	N/A	N/A
Institute of Chemistry, Academy of Sciences of the Moldavian SSR, Kishinev, 	261	N/A	N/A	N/A	N/A	N/A
